Time(ms),AccX(0)[G],AccY(0)[G],AccZ(0)[G],GyrX(0)[deg/s],GyrY(0)[deg/s],GyrZ(0)[deg/s],MagX(0)[uT],MagY(0)[uT],MagZ(0)[uT],Roll(0)[deg],Pitch(0)[deg],Yaw(0)[deg],Qw(0),Qx(0),Qy(0),Qz(0),
0.000000,0.731,0.600,0.076,-0.50,0.80,-26.50,-7.80,-71.50,22.80,83.25,-42.80,60.88,0.477,0.671,0.078,0.562,
0.000000,0.661,0.692,0.101,-0.20,0.20,-22.50,-8.20,-71.80,22.40,83.27,-42.38,60.83,0.479,0.671,0.081,0.560,
0.000000,0.681,0.786,0.097,0.40,0.10,-15.90,-7.60,-72.50,22.30,83.31,-41.97,60.77,0.481,0.671,0.083,0.558,
0.000000,0.705,0.766,0.088,-0.60,0.60,-15.10,-7.20,-72.30,22.30,83.33,-41.66,60.73,0.483,0.670,0.085,0.557,
0.000000,0.684,0.691,0.085,-2.90,0.00,-18.90,-7.00,-72.50,22.20,83.33,-41.34,60.70,0.485,0.670,0.087,0.556,
0.000000,0.665,0.739,0.101,-1.80,0.00,-19.90,-7.20,-72.50,21.40,83.32,-40.95,60.63,0.487,0.669,0.089,0.554,
0.000000,0.685,0.774,0.104,1.00,1.40,-17.10,-7.20,-72.50,21.40,83.31,-40.57,60.59,0.489,0.669,0.091,0.553,
0.000000,0.700,0.723,0.120,0.90,2.50,-15.10,-6.80,-73.40,22.30,83.34,-40.24,60.59,0.490,0.669,0.093,0.551,
0.000000,0.684,0.632,0.073,-1.90,5.70,-10.90,-6.40,-74.80,22.10,83.28,-40.03,60.66,0.491,0.668,0.094,0.551,
0.000000,0.601,0.661,0.122,1.70,10.30,-1.40,-6.50,-79.70,21.90,83.15,-39.85,60.81,0.492,0.667,0.096,0.551,
0.000000,0.669,0.755,0.097,8.20,15.10,4.40,-6.60,-73.40,22.00,83.03,-39.83,61.11,0.491,0.666,0.097,0.552,
0.000000,0.709,0.845,0.127,2.40,9.90,-0.90,-6.80,-70.70,21.60,82.93,-39.88,61.50,0.490,0.666,0.099,0.554,
0.000000,0.669,0.731,0.116,-9.30,-1.90,-15.60,-5.90,-73.70,21.50,82.82,-39.77,61.66,0.490,0.665,0.100,0.555,
